Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides 4,Peptides 5,Razor + unique peptides 4,Razor + unique peptides 5,Unique peptides 4,Unique peptides 5,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L 4,Ratio H/L 5,Ratio H/L normalized 4,Ratio H/L normalized 5,Ratio H/L variability [%] 4,Ratio H/L variability [%] 5,Ratio H/L count 4,Ratio H/L count 5,Ratio H/L iso-count 4,Ratio H/L iso-count 5,Ratio H/L type 4,Ratio H/L type 5,Sequence coverage 4 [%],Sequence coverage 5 [%],Intensity,Intensity L,Intensity H,Intensity 4,Intensity L 4,Intensity H 4,Intensity 5,Intensity L 5,Intensity H 5,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions
sp|P05739|RL6B_YEAST,sp|P05739|RL6B_YEAST,12,4,4,,1,12,4,4,8,10,2,3,2,3,47.2,21.6,21.6,19.986,176,176,0,42.347,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,33,40.9,105540000,0,105540000,31633000,0,31633000,73905000,0,73905000,,,,71,1108;1109;1110;1728;1729;2881;3575;4059;4139;4140;4257;4400,False;False;False;True;True;False;True;False;False;False;True;False,1135;1136;1137;1769;1770;2966;3685;4192;4272;4273;4395;4539,1819;1820;1821;1822;1823;2830;2831;2832;4782;5973;6862;6863;6991;6992;6993;6994;7197;7439,2585;2586;2587;2588;2589;2590;2591;2592;4113;4114;4115;6973;8708;10257;10258;10450;10451;10452;10453;10454;10455;10768;11119,2585;2591;2592;4113;4115;6973;8708;10258;10450;10455;10768;11119,,
sp|P05740|RL17A_YEAST,sp|P05740|RL17A_YEAST,16,2,2,,1,16,2,2,11,15,2,2,2,2,76.6,8.7,8.7,20.549,184,184,0,14.634,4.1149,4.8107,111.18,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,58.7,76.6,23522000,785160,22737000,5071000,474090,4596900,18451000,311070,18140000,,,,72,388;837;1154;1155;1284;1557;2415;2416;2417;2710;2711;2920;3073;4296;4357;4358,False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True,401;857;1184;1185;1316;1593;2474;2475;2476;2794;2795;3005;3163;4435;4496;4497,656;657;1379;1380;1893;1894;1895;1896;2099;2100;2547;3975;3976;3977;3978;3979;3980;4505;4506;4507;4508;4509;4838;5094;7271;7367;7368;7369;7370;7371,948;949;950;1965;1966;1967;2704;2705;2706;2707;2708;2709;2710;2711;2712;2713;2714;2715;2716;2717;2980;2981;2982;3673;5805;5806;5807;5808;5809;5810;5811;5812;5813;6593;6594;6595;6596;6597;6598;6599;6600;6601;7053;7417;10877;10878;10879;11016;11017;11018;11019;11020;11021,950;1965;2705;2715;2980;3673;5806;5809;5812;6599;6601;7053;7417;10877;11016;11019,,
sp|P05743|RL26A_YEAST,sp|P05743|RL26A_YEAST,11,2,2,,1,11,2,2,6,11,2,2,2,2,66.9,15.7,15.7,14.234,127,127,0,7.4868,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,Median,Median,40.9,66.9,53692000,2249400,51443000,23919000,2249400,21670000,29773000,0,29773000,,,,73,302;523;524;883;905;1014;1604;2856;3030;4030;4063,False;True;True;False;False;False;False;False;False;False;False,306;537;538;904;927;1040;1642;2941;3118;4162;4196,505;873;874;875;876;1452;1490;1670;1671;2636;4736;4737;5013;6810;6811;6868;6869,718;719;1253;1254;1255;1256;1257;2057;2102;2103;2104;2105;2365;2366;2367;2368;3821;3822;3823;6919;6920;7302;7303;10186;10187;10188;10271;10272;10273;10274;10275,719;1254;1256;2057;2103;2368;3821;6920;7303;10188;10273,,
sp|P05744|RL33A_YEAST,sp|P05744|RL33A_YEAST,8,1,1,,1,8,1,1,5,8,1,1,1,1,68.2,15,15,12.154,107,107,0,13.51,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,47.7,68.2,97556000,0,97556000,43173000,0,43173000,54383000,0,54383000,,,,74,106;428;1416;1436;1588;2946;2947;3032,False;False;True;False;False;False;False;False,107;442;1451;1471;1626;3032;3033;3120,176;177;724;725;2325;2326;2353;2611;2612;4879;4880;4881;4882;5015,253;254;255;256;1046;1047;1048;1049;3337;3338;3339;3340;3341;3342;3382;3790;3791;7108;7109;7110;7111;7112;7113;7114;7305;7306;7307,254;1049;3340;3382;3791;7109;7110;7305,,
sp|P05745|RL36A_YEAST,sp|P05745|RL36A_YEAST,13,1,1,,1,13,1,1,10,12,1,1,1,1,71,10,10,11.124,100,100,0.0042313,1.7177,16.654,18.592,242.26,3,3,Plateau,NaN,6.186,NaN,6.8872,NaN,340.85,1,2,1,2,Median,Median,71,71,11891000,552670,11339000,4766800,103860,4662900,7124700,448800,6675900,,,,75,861;1156;1890;2090;2980;2982;3300;3301;3604;3605;3606;3892;3893,False;False;True;False;False;False;False;False;False;False;False;False;False,881;1186;1935;1936;2144;3066;3068;3404;3405;3717;3718;3719;4016;4017;4018,1418;1897;1898;3084;3085;3086;3433;3434;3435;3436;4930;4931;4935;4936;5490;5491;5492;6062;6063;6064;6065;6066;6566;6567;6568;6569;6570,2015;2718;2719;4478;4479;4480;4481;5035;5036;5037;5038;7184;7185;7189;7190;7191;7982;7983;7984;7985;7986;8961;8962;8963;8964;8965;8966;8967;8968;8969;8970;9780;9781;9782;9783;9784;9785,2015;2719;4478;5035;7185;7191;7983;7986;8961;8965;8969;9780;9784,2;46,20;90
sp|P05748|RL15A_YEAST;sp|P54780|RL15B_YEAST,sp|P05748|RL15A_YEAST;sp|P54780|RL15B_YEAST,17;15,17;15,17;15,;,2,17,17,17,9,17,9,17,9,17,52.9,52.9,52.9,24.422,204,204;204,0,138.2,23.082,23.056,79.265,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,39.2,52.9,397110000,1003600,396110000,100200000,484210,99717000,296910000,519410,296390000,,,,76,38;1175;1176;1840;2791;2792;2852;2884;3007;3287;4034;4107;4108;4302;4355;4356;4378,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,38;1205;1206;1883;2876;2877;2937;2969;3094;3390;4166;4240;4241;4441;4494;4495;4517,65;66;1931;1932;1933;1934;1935;3006;3007;4636;4637;4731;4787;4788;4976;5469;6815;6816;6944;6945;6946;7279;7280;7281;7282;7283;7365;7366;7401;7402,95;96;97;98;99;2761;2762;2763;2764;2765;2766;2767;2768;4362;4363;6782;6783;6913;6979;6980;7251;7252;7954;10192;10193;10194;10388;10389;10390;10391;10392;10889;10890;10891;10892;10893;10894;10895;10896;10897;10898;10899;10900;10901;10902;11009;11010;11011;11012;11013;11014;11015;11060;11061,96;2762;2766;4363;6782;6783;6913;6979;7251;7954;10193;10388;10391;10895;11009;11013;11061,,
sp|P05749|RL22A_YEAST;sp|P56628|RL22B_YEAST,sp|P05749|RL22A_YEAST,7;3,7;3,7;3,,2,7,7,7,3,7,3,7,3,7,62.8,62.8,62.8,13.693,121,121;122,0,28.406,13.305,9.9899,149.34,6,5,Median,NaN,10.49,NaN,7.3354,NaN,148.5,1,5,1,4,Median,Median,47.1,62.8,47816000,5697200,42119000,11993000,151520,11842000,35823000,5545600,30277000,,,,77,1158;1828;2669;2670;3598;3900;4365,True;True;True;True;True;True;True,1188;1871;2753;2754;3711;4025;4504,1900;2988;4442;4443;6050;6051;6582;6583;7381;7382,2721;4341;6503;6504;8937;8938;8939;9805;9806;11035;11036,2721;4341;6503;6504;8938;9806;11036,,
sp|P05750|RS3_YEAST,sp|P05750|RS3_YEAST,18,18,18,,1,18,18,18,9,17,9,17,9,17,62.9,62.9,62.9,26.502,240,240,0,113.66,16.642,11.638,136.4,3,3,Median,NaN,16.642,NaN,11.638,NaN,136.4,0,3,0,3,Median,Median,58.3,62.9,323050000,1142000,321910000,104840000,0,104840000,218210000,1142000,217070000,,,,78,52;300;301;769;992;993;1234;2164;2165;2885;2886;2954;3576;3716;4082;4265;4266;4267,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,52;304;305;788;1017;1018;1019;1265;2221;2222;2970;2971;3040;3686;3831;4215;4403;4404;4405,89;90;502;503;504;1276;1277;1633;1634;1635;1636;2026;3562;3563;3564;3565;4789;4790;4895;5974;6254;6255;6256;6904;7211;7212;7213;7214;7215,128;129;130;131;712;713;714;715;716;717;1834;1835;1836;1837;1838;1839;1840;2303;2304;2305;2306;2887;5205;5206;5207;5208;6981;6982;7139;8709;9293;9294;9295;10329;10784;10785;10786;10787;10788;10789,130;712;717;1834;2303;2304;2887;5206;5207;6981;6982;7139;8709;9294;10329;10784;10785;10786,47,177
sp|P05755|RS9B_YEAST;sp|O13516|RS9A_YEAST,sp|P05755|RS9B_YEAST;sp|O13516|RS9A_YEAST,23;20,23;20,23;20,;,2,23,23,23,15,22,15,22,15,22,74.9,74.9,74.9,22.298,195,195;197,0,96.047,11.366,12.724,131.72,9,9,Median,11.366,22.907,12.724,21.457,141.67,116.55,3,6,3,6,Plateau,Median,50.8,74.9,229840000,6651400,223180000,57563000,2111000,55452000,172270000,4540400,167730000,,,,79,702;1338;1339;1594;1695;1931;1932;1984;1990;1991;2241;2385;2531;2813;2814;2911;2975;2976;2990;2994;3886;3951;4025,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,719;1372;1373;1632;1736;1981;1982;2035;2041;2042;2299;2444;2609;2898;2899;2996;3061;3062;3077;3081;4010;4078;4157,1164;2193;2194;2195;2196;2619;2620;2781;3156;3157;3158;3159;3247;3257;3258;3259;3689;3690;3918;3919;4204;4668;4669;4827;4828;4924;4925;4926;4951;4952;4957;4958;6557;6558;6664;6802;6803,1654;3141;3142;3143;3144;3145;3146;3800;3801;4049;4608;4609;4610;4611;4612;4727;4739;4740;4741;5392;5393;5701;5702;6133;6818;6819;6820;7039;7040;7041;7174;7175;7176;7177;7178;7217;7218;7219;7224;7225;9767;9768;9904;10172;10173;10174;10175,1654;3142;3146;3801;4049;4609;4612;4727;4739;4741;5393;5702;6133;6818;6820;7039;7175;7177;7217;7224;9767;9904;10172,,
sp|P05756|RS13_YEAST,sp|P05756|RS13_YEAST,7,7,7,,1,7,7,7,4,7,4,7,4,7,43.7,43.7,43.7,17.029,151,151,0,50.048,44.688,38.595,66.801,3,3,Median,18.501,NaN,21.722,NaN,81.287,NaN,2,1,2,1,Median,Median,33.8,43.7,170070000,3018200,167050000,79570000,2788000,76782000,90502000,230260,90272000,,,,80,588;1218;1219;2311;2312;3318;3319,True;True;True;True;True;True;True,602;1249;1250;2370;2371;3424;3425,982;2004;2005;2006;3795;3796;3797;3798;5524;5525;5526,1404;2863;2864;2865;2866;5531;5532;5533;5534;8029;8030;8031,1404;2863;2864;5531;5534;8029;8030,,
sp|P05759|RS31_YEAST,sp|P05759|RS31_YEAST,12,12,3,,1,12,12,3,9,11,9,11,3,3,64.5,64.5,24.3,17.216,152,152,0,113.07,27.26,28.399,190.55,4,4,Median,23.875,NaN,19.327,NaN,194.23,NaN,3,1,3,1,Median,Median,64.5,64.5,243490000,998520,242490000,107450000,786650,106660000,136040000,211870,135830000,,,,81,557;849;938;1569;1952;2099;2253;2819;3651;3652;3653;3687,True;True;True;True;True;True;True;True;True;True;True;True,571;869;962;1605;2002;2154;2311;2904;3765;3766;3767;3802,933;934;1399;1541;1542;2562;3192;3193;3452;3453;3454;3707;3708;4676;6144;6145;6146;6147;6148;6149;6150;6151;6152;6211,1340;1341;1342;1343;1992;1993;1994;1995;2168;2169;3690;4653;4654;4655;4656;5063;5064;5065;5066;5067;5068;5419;5420;5421;6827;9127;9128;9129;9130;9131;9132;9133;9134;9135;9136;9137;9138;9139;9140;9141;9142;9143;9144;9228,1340;1993;2168;3690;4655;5064;5419;6827;9127;9132;9142;9228,,
sp|P06101|CDC37_YEAST,sp|P06101|CDC37_YEAST,1,1,1,,1,1,1,1,1,0,1,0,1,0,1.6,1.6,1.6,58.384,506,506,0.0067568,1.3169,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,1.6,0,591300,0,591300,591300,0,591300,0,0,0,,,,82,1091,TRUE,1117,1791,2545,2545,,
sp|P06103|EIF3B_YEAST,sp|P06103|EIF3B_YEAST,3,3,3,,1,3,3,3,3,3,3,3,3,3,5.8,5.8,5.8,88.129,763,763,0,9.3935,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,5.8,5.8,15093000,0,15093000,8204200,0,8204200,6889200,0,6889200,,,,83,2585;3719;4196,True;True;True,2663;3834;4332,4297;4298;6261;6262;7089;7090,6276;6277;9301;9302;9303;10600;10601,6277;9303;10600,,
sp|P06105|SC160_YEAST,sp|P06105|SC160_YEAST,25,25,25,,1,25,25,25,19,17,19,17,19,17,28.8,28.8,28.8,134.81,1222,1222,0,134.56,1.4628,1.6825,208.5,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,23.1,21.1,89996000,965140,89031000,34373000,865700,33508000,55623000,99444,55523000,,,,84,159;340;359;989;1225;1615;1732;2100;2345;2397;2545;2607;2632;3111;3178;3237;3469;3783;3807;3859;3932;3933;4143;4175;4389,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,161;347;369;1014;1256;1653;1773;2155;2404;2456;2623;2686;2712;3204;3276;3336;3578;3898;3926;3983;4057;4058;4276;4310;4528,269;566;605;1628;1629;2014;2015;2650;2836;3455;3456;3851;3946;4228;4229;4328;4329;4371;5157;5277;5382;5778;6366;6367;6418;6419;6510;6511;6630;6631;6632;6997;6998;7056;7057;7420,379;823;877;2298;2299;2874;2875;3837;4120;5069;5070;5599;5765;6162;6163;6164;6165;6318;6319;6320;6385;7496;7667;7832;8394;9469;9470;9471;9472;9570;9571;9697;9698;9864;9865;9866;10459;10460;10544;10545;11095,379;823;877;2299;2875;3837;4120;5070;5599;5765;6164;6319;6385;7496;7667;7832;8394;9469;9571;9697;9865;9866;10459;10545;11095,,
sp|P06106|CYSD_YEAST,sp|P06106|CYSD_YEAST,4,4,4,,1,4,4,4,2,4,2,4,2,4,11.3,11.3,11.3,48.671,444,444,0,16.32,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,5.2,11.3,18122000,0,18122000,6885700,0,6885700,11237000,0,11237000,,,,85,498;512;1943;2279,True;True;True;True,512;526;1993;2337,835;855;3176;3177;3745;3746,1198;1230;4633;4634;5466;5467,1198;1230;4633;5467,,
sp|P06168|ILV5_YEAST,sp|P06168|ILV5_YEAST,14,14,14,,1,14,14,14,11,12,11,12,11,12,37.2,37.2,37.2,44.368,395,395,0,70.993,68.013,76.145,214.75,4,4,Linear,5.4266,NaN,6.0747,NaN,150.42,NaN,3,1,3,1,Plateau,Median,32.9,36.2,263930000,1404900,262530000,99222000,1228400,97993000,164710000,176520,164540000,,,,86,25;685;857;858;889;1273;2011;2537;2538;2629;2926;3016;3692;3693,True;True;True;True;True;True;True;True;True;True;True;True;True;True,25;701;877;878;910;1305;2062;2615;2616;2709;3011;3104;3807;3808,47;48;1135;1136;1409;1410;1411;1412;1413;1414;1463;2080;3289;3290;4214;4215;4216;4366;4367;4846;4990;4991;6219;6220;6221;6222,66;67;68;69;70;71;1618;1619;2005;2006;2007;2008;2009;2010;2011;2071;2957;4783;4784;4785;4786;6144;6145;6146;6379;6380;7063;7270;7271;7272;7273;7274;7275;9242;9243;9244;9245;9246;9247;9248;9249;9250,66;1618;2005;2006;2071;2957;4784;6144;6146;6379;7063;7271;9245;9248,,
sp|P06169|PDC1_YEAST;sp|P26263|PDC6_YEAST;sp|P16467|PDC5_YEAST;sp|Q07471|THI3_YEAST,sp|P06169|PDC1_YEAST,36;6;6;1,36;6;6;1,36;6;6;1,,4,36,36,36,26,33,26,33,26,33,63.6,63.6,63.6,61.495,563,563;563;563;609,0,323.31,137.49,904.91,192.33,29,29,Linear,201.59,134.77,9.4518,98.607,153.95,231.1,15,14,15,14,Linear,Plateau,51,60.2,3809600000,109170000,3700400000,1246100000,76265000,1169900000,2563500000,32905000,2530600000,,,,87,590;591;760;761;963;1243;1275;1585;1586;1676;1677;1678;1808;1809;2091;2092;2104;2178;2179;2188;2350;2500;2501;2549;2620;2825;3143;3144;3663;3769;3847;3848;4229;4230;4314;4361,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,604;605;778;779;988;1274;1307;1621;1622;1623;1624;1715;1716;1717;1718;1719;1850;1851;1852;2145;2146;2147;2159;2235;2236;2237;2246;2409;2575;2576;2627;2699;2700;2910;3239;3240;3777;3778;3884;3970;3971;4365;4366;4453;4500,984;985;986;987;988;1258;1259;1260;1261;1262;1588;1589;2038;2085;2086;2087;2088;2590;2591;2592;2593;2594;2595;2596;2597;2598;2599;2600;2601;2602;2603;2604;2605;2606;2607;2608;2609;2749;2750;2751;2752;2753;2754;2755;2756;2955;2956;2957;2958;2959;3437;3438;3439;3440;3460;3461;3584;3585;3586;3587;3600;3601;3860;3861;4152;4153;4235;4348;4349;4350;4351;4352;4353;4689;4690;4691;5215;5216;5217;6168;6169;6170;6337;6338;6487;6488;6489;7143;7144;7145;7299;7300;7376;7377,1406;1407;1408;1409;1410;1411;1412;1413;1798;1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;2243;2244;2245;2902;2963;2964;2965;2966;2967;2968;3742;3743;3744;3745;3746;3747;3748;3749;3750;3751;3752;3753;3754;3755;3756;3757;3758;3759;3760;3761;3762;3763;3764;3765;3766;3767;3768;3769;3770;3771;3772;3773;3774;3775;3776;3777;3778;3779;3780;3781;3782;3783;3784;3785;3786;3787;3788;3992;3993;3994;3995;3996;3997;3998;3999;4000;4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4277;4278;4279;4280;4281;4282;4283;4284;4285;4286;4287;4288;4289;4290;4291;4292;4293;4294;4295;4296;4297;4298;4299;5039;5040;5041;5042;5075;5076;5077;5078;5079;5237;5238;5239;5240;5241;5242;5243;5244;5245;5263;5264;5265;5266;5267;5268;5269;5270;5271;5272;5273;5274;5275;5276;5277;5610;5611;6063;6064;6065;6066;6171;6341;6342;6343;6344;6345;6346;6347;6348;6349;6350;6351;6352;6353;6354;6355;6851;6852;6853;6854;6855;6856;6857;6858;6859;6860;6861;6862;6863;6864;6865;7570;7571;7572;7573;7574;9163;9164;9165;9166;9167;9168;9169;9422;9423;9424;9425;9426;9427;9428;9429;9666;9667;9668;9669;10690;10691;10692;10920;10921;10922;10923;10924;10925;11027;11028;11029;11030;11031,1406;1411;1799;1808;2245;2902;2963;3744;3785;3992;4000;4015;4288;4298;5041;5042;5075;5237;5239;5271;5610;6063;6064;6171;6354;6863;7572;7574;9164;9425;9667;9669;10690;10692;10920;11027,48;49;50;51;52;53,43;187;247;314;326;539
sp|P06367|RS14A_YEAST,sp|P06367|RS14A_YEAST,18,2,2,,1,18,2,2,9,18,0,2,0,2,88.3,25.5,25.5,14.536,137,137,0,79.763,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,59.1,88.3,56636000,0,56636000,0,0,0,56636000,0,56636000,,,,88,72;73;429;560;721;947;948;961;1470;1670;1671;1672;3329;3330;3665;3666;3712;3993,False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False,72;73;74;443;574;739;971;972;973;986;1505;1709;1710;1711;3435;3436;3780;3781;3827;4124,122;123;124;125;126;726;727;939;940;941;942;1193;1556;1557;1558;1559;1560;1561;1584;1585;2403;2404;2741;2742;2743;2744;5540;5541;6175;6176;6177;6250;6751;6752,168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;1050;1051;1350;1351;1352;1353;1687;1688;2189;2190;2191;2192;2193;2194;2195;2238;2239;2240;3456;3457;3458;3974;3975;3976;3977;3978;3979;3980;3981;3982;3983;3984;3985;8052;8053;8054;8055;9175;9176;9177;9178;9179;9289;10080;10081;10082,173;182;1050;1352;1687;2191;2194;2238;3456;3980;3984;3985;8052;8054;9175;9178;9289;10080,54;55,46;61
sp|P06633|HIS7_YEAST,sp|P06633|HIS7_YEAST,1,1,1,,1,1,1,1,1,0,1,0,1,0,4.5,4.5,4.5,23.833,220,220,0.0042135,1.6554,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,4.5,0,275190,0,275190,275190,0,275190,0,0,0,,,,89,783,TRUE,802,1297,1860,1860,,
sp|P06634|DED1_YEAST,sp|P06634|DED1_YEAST,10,10,10,,1,10,10,10,7,10,7,10,7,10,24.3,24.3,24.3,65.552,604,604,0,61.615,15.596,20.864,48.824,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,20.9,24.3,134030000,1294200,132740000,47931000,725110,47206000,86101000,569120,85531000,,,,90,98;533;1763;1940;3601;3602;3617;3950;4053;4390,True;True;True;True;True;True;True;True;True;True,99;547;1804;1990;3714;3715;3730;4077;4185;4529,164;165;889;890;2884;3172;6056;6057;6058;6085;6086;6662;6663;6848;6849;7421;7422,237;238;239;240;1274;1275;4187;4629;8946;8947;8948;8949;8950;8951;8952;8953;8954;8999;9000;9902;9903;10240;10241;10242;11096;11097,237;1274;4187;4629;8946;8948;8999;9903;10240;11096,,
sp|P06780|RHO1_YEAST,sp|P06780|RHO1_YEAST,2,2,2,,1,2,2,2,2,2,2,2,2,2,14.8,14.8,14.8,23.152,209,209,0,2.6641,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,14.8,14.8,3603600,0,3603600,2824700,0,2824700,778960,0,778960,,,,91,3356;3630,True;True,3462;3744,5581;5582;6111;6112,8106;8107;9079;9080,8107;9079,,
sp|P07149|FAS1_YEAST,sp|P07149|FAS1_YEAST,49,49,49,,1,49,49,49,31,38,31,38,31,38,29.4,29.4,29.4,228.69,2051,2051,0,279.31,4.4078,4.0616,104.95,12,10,Median,6.2618,3.0466,4.2427,2.6638,49.007,129.95,5,7,5,5,Median,Median,19.4,25.5,346950000,8141200,338810000,162780000,2620800,160160000,184180000,5520300,178660000,,,,92,41;192;239;245;255;277;278;432;433;449;549;633;660;684;737;832;833;872;1090;1231;1387;1401;1442;1641;1721;2170;2171;2172;2383;2401;2450;2541;2612;2657;2736;2868;3218;3289;3290;3688;3744;3782;3921;3925;3961;4098;4112;4343;4362,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,41;196;243;249;259;281;282;446;447;463;563;647;676;700;755;852;853;892;1116;1262;1422;1436;1477;1679;1762;2227;2228;2229;2442;2460;2517;2619;2691;2739;2820;2953;3316;3392;3393;3803;3859;3897;4046;4050;4088;4231;4245;4482;4501,72;73;327;396;405;419;468;469;731;732;733;734;760;761;920;1057;1058;1100;1134;1223;1224;1225;1226;1373;1374;1375;1434;1435;1789;1790;2022;2023;2279;2300;2301;2361;2694;2820;3572;3573;3574;3575;3915;3951;3952;4059;4060;4219;4220;4335;4336;4415;4416;4552;4760;5349;5472;5473;6212;6213;6301;6302;6363;6364;6365;6612;6613;6619;6681;6928;6952;7343;7378,106;107;108;459;555;567;591;659;660;1056;1057;1058;1059;1060;1092;1093;1322;1512;1513;1514;1573;1617;1749;1750;1751;1752;1753;1754;1755;1756;1757;1958;1959;1960;2037;2038;2039;2040;2543;2544;2883;2884;3277;3307;3308;3309;3310;3397;3904;4097;4098;5217;5218;5219;5220;5221;5698;5773;5774;5937;5938;6150;6151;6326;6327;6439;6440;6672;6947;7763;7957;7958;9229;9230;9231;9232;9233;9234;9235;9236;9370;9371;9372;9373;9374;9375;9465;9466;9467;9468;9840;9841;9842;9852;9933;10364;10398;10399;10977;11032,106;459;555;567;591;659;660;1056;1058;1093;1322;1514;1573;1617;1749;1958;1960;2039;2543;2883;3277;3307;3397;3904;4097;5217;5220;5221;5698;5773;5938;6151;6327;6440;6672;6947;7763;7957;7958;9229;9371;9467;9842;9852;9933;10364;10399;10977;11032,,
sp|P07170|KAD2_YEAST,sp|P07170|KAD2_YEAST,16,16,16,,1,16,16,16,13,11,13,11,13,11,73.9,73.9,73.9,24.254,222,222,0,93.236,3.296,2.0466,176.64,5,5,Median,27.356,NaN,32.308,NaN,185.07,NaN,4,1,4,1,Linear,Median,73.9,58.1,135760000,4586000,131170000,72343000,2809700,69533000,63412000,1776200,61636000,,,,93,617;628;924;1293;1294;1295;1296;1438;1789;1981;2520;2592;2593;2968;2969;3398,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,631;642;948;1325;1326;1327;1328;1473;1830;2031;2032;2597;2670;2671;3054;3055;3505,1032;1033;1048;1049;1521;2113;2114;2115;2116;2117;2355;2924;3238;3239;3240;3241;3242;4184;4308;4309;4310;4911;4912;4913;4914;5655;5656,1469;1470;1471;1472;1473;1474;1493;1494;2144;2998;2999;3000;3001;3002;3385;3386;4241;4242;4710;4711;4712;4713;4714;6109;6294;6295;6296;7156;7157;7158;7159;7160;8211;8212,1469;1494;2144;2998;3000;3001;3002;3386;4241;4712;6109;6295;6296;7156;7159;8211,56,106
sp|P07213|TOM70_YEAST,sp|P07213|TOM70_YEAST,8,8,8,,1,8,8,8,6,6,6,6,6,6,16.9,16.9,16.9,70.122,617,617,0,24.857,14.494,16.181,22.295,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,12.6,13.9,33331000,141530,33190000,16056000,81409,15974000,17276000,60120,17215000,,,,94,262;436;1587;1791;2223;2233;4029;4087,True;True;True;True;True;True;True;True,266;450;1625;1832;2281;2291;4161;4220,432;433;739;740;2610;2926;2927;3662;3663;3679;6809;6910,606;607;1065;1066;1067;3789;4244;4245;5360;5361;5382;10185;10336,607;1065;3789;4244;5360;5382;10185;10336,,
sp|P07244|PUR2_YEAST,sp|P07244|PUR2_YEAST,3,3,3,,1,3,3,3,3,1,3,1,3,1,4.6,4.6,4.6,86.067,802,802,0,11.999,15.15,9.157,70.667,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,4.6,1.1,8137200,251760,7885500,5707100,157040,5550100,2430100,94717,2335400,,,,95,596;661;1938,True;True;True,610;677;1988,996;1101;3169;3170,1423;1574;4626;4627,1423;1574;4626,,
