Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides 4,Peptides 5,Razor + unique peptides 4,Razor + unique peptides 5,Unique peptides 4,Unique peptides 5,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L 4,Ratio H/L 5,Ratio H/L normalized 4,Ratio H/L normalized 5,Ratio H/L variability [%] 4,Ratio H/L variability [%] 5,Ratio H/L count 4,Ratio H/L count 5,Ratio H/L iso-count 4,Ratio H/L iso-count 5,Ratio H/L type 4,Ratio H/L type 5,Sequence coverage 4 [%],Sequence coverage 5 [%],Intensity,Intensity L,Intensity H,Intensity 4,Intensity L 4,Intensity H 4,Intensity 5,Intensity L 5,Intensity H 5,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions
sp|P00447|SODM_YEAST,sp|P00447|SODM_YEAST,2,2,2,,1,2,2,2,2,1,2,1,2,1,9.9,9.9,9.9,25.774,233,233,0,6.7872,1.817,0.17685,287.16,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,9.9,6,6932100,857920,6074100,4150300,426070,3724300,2781700,431860,2349900,,,,24,232;1978,True;True,237;2033,336;2941;2942,470;4275;4276,470;4275,,
sp|P00498|HIS1_YEAST,sp|P00498|HIS1_YEAST,5,5,5,,1,5,5,5,4,2,4,2,4,2,23.2,23.2,23.2,32.266,297,297,0,16.301,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,Median,Median,16.5,12.5,33671000,446790,33224000,15927000,446790,15480000,17744000,0,17744000,,,,25,2342;2536;3809;4335;4488,True;True;True;True;True,2405;2603;3937;4483;4642,3471;3765;3766;5802;6620;6861,5040;5041;5436;5437;8470;9712;10068,5041;5436;8470;9712;10068,,
sp|P00549|KPYK1_YEAST;sp|P52489|KPYK2_YEAST,sp|P00549|KPYK1_YEAST,45;2,45;2,45;2,,2,45,45,45,13,43,13,43,13,43,82.4,82.4,82.4,54.544,500,500;506,0,323.31,340.37,342.97,172.38,23,21,Linear,40.376,269.64,22.557,235.76,205.43,165.67,5,18,5,16,Median,Linear,32.4,77.2,1616200000,11764000,1604400000,208460000,1390600,207070000,1407700000,10373000,1397300000,,,,26,43;57;140;173;211;212;683;750;972;1201;1204;1321;1322;1426;1427;1454;1590;1591;1594;1595;1810;1811;2446;2447;2491;2597;2663;2713;2714;3127;3234;3447;3499;3677;3678;3679;3780;3781;3863;3903;3904;4149;4318;4573;4574,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,43;57;142;175;176;215;216;702;772;1000;1235;1238;1356;1357;1466;1467;1494;1630;1631;1632;1635;1636;1858;1859;2513;2514;2558;2676;2677;2749;2803;2804;3226;3339;3563;3615;3799;3800;3801;3908;3909;3993;4034;4035;4294;4465;4727;4728,64;82;83;210;211;256;257;258;259;260;261;310;311;1019;1113;1440;1778;1781;1782;1940;1941;2113;2114;2115;2116;2159;2160;2352;2353;2354;2355;2356;2357;2358;2362;2363;2678;2679;2680;2681;2682;2683;3628;3629;3695;3894;3895;3896;4002;4077;4078;4726;4876;4877;5199;5269;5544;5545;5546;5547;5748;5749;5885;5886;5887;5952;5953;5954;6347;6594;6981;6982;6983,92;121;122;290;291;292;293;294;295;296;297;298;299;359;360;361;362;363;364;365;366;367;428;429;430;431;432;433;1451;1584;1585;1586;2055;2572;2575;2576;2577;2789;2790;3050;3051;3052;3053;3054;3055;3105;3106;3107;3388;3389;3390;3391;3392;3393;3394;3395;3396;3397;3398;3399;3400;3401;3402;3403;3404;3405;3406;3410;3411;3887;3888;3889;3890;3891;3892;3893;3894;3895;5240;5241;5333;5609;5610;5611;5612;5613;5614;5615;5616;5617;5757;5758;5874;5875;5876;5877;6780;6990;6991;6992;7467;7563;7564;7955;7956;7957;7958;7959;7960;7961;7962;8385;8386;8387;8388;8389;8390;8607;8608;8609;8610;8611;8612;8613;8699;8700;8701;8702;8703;8704;8705;8706;8707;9314;9315;9673;9674;10230;10231;10232;10233;10234,92;121;290;366;428;431;1451;1584;2055;2572;2575;2789;2790;3051;3055;3107;3390;3402;3410;3411;3890;3892;5240;5241;5333;5614;5757;5874;5876;6780;6990;7467;7563;7955;7961;7962;8385;8386;8610;8699;8706;9314;9673;10230;10233,13;14,50;126
sp|P00560|PGK_YEAST,sp|P00560|PGK_YEAST,46,46,46,,1,46,46,46,24,41,24,41,24,41,93.8,93.8,93.8,44.738,416,416,0,323.31,94.591,1.4029,19.238,28,25,Leave out requantified,94.591,481.94,1.4029,305.68,19.238,121.04,9,19,6,19,Leave out requantified,Linear,67.8,80.3,1700600000,14666000,1686000000,452650000,5838500,446820000,1248000000,8827200,1239100000,,,,27,20;21;138;139;190;191;238;260;280;384;385;757;856;905;912;915;996;1128;1319;1616;1638;1639;1640;1677;1678;1689;1690;1845;1922;2094;2095;2417;3132;3509;3510;3810;3963;3986;4038;4179;4180;4524;4576;4577;4595;4603,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,20;21;139;140;141;194;195;243;265;285;399;400;779;882;931;938;942;1024;1160;1354;1657;1682;1683;1684;1721;1722;1733;1734;1893;1974;2149;2150;2482;3231;3626;3627;3938;4098;4123;4178;4325;4326;4678;4730;4731;4749;4757,30;31;206;207;208;209;282;283;344;376;377;378;379;415;416;572;573;574;1122;1276;1277;1340;1349;1350;1355;1356;1475;1677;1938;2390;2391;2392;2432;2433;2434;2435;2436;2484;2485;2486;2503;2504;2725;2726;2727;2728;2729;2730;2846;2847;3108;3109;3110;3583;3584;4733;5286;5287;5288;5289;5803;5804;5805;5806;6050;6051;6052;6089;6090;6164;6391;6392;6393;6913;6985;6986;7011;7021;7022;7023,42;43;283;284;285;286;287;288;289;393;394;479;523;524;525;526;527;528;529;530;531;532;584;585;586;587;588;589;826;827;828;1600;1836;1837;1838;1913;1922;1923;1924;1930;1931;1932;1933;2103;2417;2785;2786;2787;3444;3445;3446;3447;3448;3449;3450;3451;3452;3453;3454;3455;3456;3457;3458;3459;3460;3461;3529;3530;3531;3532;3533;3534;3535;3536;3537;3538;3539;3598;3599;3600;3601;3602;3624;3625;3626;3946;3947;3948;3949;3950;3951;3952;4109;4110;4111;4112;4113;4497;4498;4499;4500;4501;4502;4503;4504;4505;4506;4507;5181;5182;5183;5184;6788;6789;7582;7583;7584;7585;7586;7587;7588;7589;7590;7591;7592;7593;7594;7595;7596;7597;8471;8472;8473;8474;8475;8476;8477;8478;8479;8480;8481;8482;8853;8854;8855;8856;8920;8921;9035;9377;9378;9379;9380;9381;9382;9383;9384;9385;9386;9387;9388;9389;9390;9391;9392;10140;10236;10237;10270;10271;10283;10284;10285;10286;10287;10288,42;43;286;289;393;394;479;532;587;826;828;1600;1836;1913;1923;1933;2103;2417;2785;3454;3530;3535;3536;3598;3601;3624;3626;3947;4109;4500;4505;5181;6788;7590;7597;8479;8854;8920;9035;9384;9392;10140;10236;10237;10270;10284,15;16,238;268
sp|P00729|CBPY_YEAST,sp|P00729|CBPY_YEAST,1,1,1,,1,1,1,1,0,1,0,1,0,1,1.9,1.9,1.9,59.801,532,532,0.010152,0.47645,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0,1,Median,Median,0,1.9,921740,150440,771300,0,0,0,921740,150440,771300,,,,28,3774,TRUE,3901,5735,8363,8363,,
sp|P00815|HIS2_YEAST,sp|P00815|HIS2_YEAST,13,13,13,,1,13,13,13,9,10,9,10,9,10,24.4,24.4,24.4,87.72,799,799,0,61.024,2.2934,2.0606,76.837,3,3,Median,NaN,2.2934,NaN,2.0606,NaN,76.837,0,3,0,3,Median,Median,15.6,17.5,47194000,1461500,45733000,16848000,0,16848000,30346000,1461500,28885000,,,,29,89;816;1075;1087;1564;2135;2434;2435;2456;3009;3900;4204;4300,True;True;True;True;True;True;True;True;True;True;True;True;True,90;841;1105;1117;1604;2192;2501;2502;2523;3106;4031;4350;4447,131;1216;1599;1616;2317;3176;3177;3609;3610;3611;3612;3642;3643;4549;5947;6427;6428;6568;6569,187;1760;2303;2334;3337;4623;4624;5215;5216;5217;5218;5255;5256;6533;8694;9441;9442;9443;9639;9640,187;1760;2303;2334;3337;4623;5215;5218;5256;6533;8694;9443;9639,,
sp|P00817|IPYR_YEAST,sp|P00817|IPYR_YEAST,15,15,15,,1,15,15,15,11,12,11,12,11,12,69.7,69.7,69.7,32.299,287,287,0,111.69,4.0611,4.4467,157.53,11,9,Median,6.8094,3.8432,4.4878,4.4467,147.49,172.52,4,7,3,6,Median,Median,49.5,63.4,153080000,13793000,139290000,67963000,1774300,66189000,85118000,12019000,73098000,,,,30,46;62;269;472;651;833;1721;1943;1944;2075;2822;3519;3978;4126;4447,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,46;62;274;488;669;858;1767;1998;1999;2130;2918;3636;4114;4115;4267;4600,67;68;90;91;392;393;704;705;974;1238;1239;2550;2884;2885;3082;4259;5300;5301;6075;6076;6077;6298;6797;6798,97;98;99;100;101;102;131;132;549;550;551;1004;1005;1006;1007;1008;1390;1787;1788;1789;1790;1791;3716;4193;4194;4456;4457;6134;7609;7610;8901;8902;8903;8904;8905;8906;9219;9220;9221;9978;9979,101;132;549;1004;1390;1787;3716;4193;4194;4456;6134;7610;8901;9220;9979,,
sp|P00830|ATPB_YEAST,sp|P00830|ATPB_YEAST,7,7,7,,1,7,7,7,4,7,4,7,4,7,25.6,25.6,25.6,54.793,511,511,0,43.021,36.1,0.53541,193.81,3,3,Plateau,34.811,NaN,0.5163,NaN,5.1391,NaN,2,1,2,1,Median,Median,8.8,25.6,37787000,396150,37391000,12954000,322410,12632000,24833000,73741,24759000,,,,31,949;1494;1827;2477;3947;4172;4265,True;True;True;True;True;True;True,977;1534;1875;2544;4078;4317;4411,1409;1410;2219;2220;2704;3672;6015;6016;6378;6519;6520,2010;2011;3200;3201;3923;5296;8795;8796;9352;9577;9578;9579,2010;3201;3923;5296;8796;9352;9579,,
sp|P00890|CISY1_YEAST,sp|P00890|CISY1_YEAST,1,1,1,,1,1,1,1,0,1,0,1,0,1,2.5,2.5,2.5,53.359,479,479,0,1.8109,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,0,2.5,1089500,0,1089500,0,0,0,1089500,0,1089500,,,,32,1682,TRUE,1726,2492,3609,3609,,
sp|P00899|TRPE_YEAST,sp|P00899|TRPE_YEAST,2,2,2,,1,2,2,2,2,1,2,1,2,1,5.9,5.9,5.9,56.767,507,507,0,5.6884,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0,1,Median,Median,5.9,2.6,6502400,36879,6465500,3400100,0,3400100,3102300,36879,3065400,,,,33,2798;3862,True;True,2893;3992,4221;4222;5884,6089;6090;8606,6090;8606,,
