orf,gene,ThisStudy,Paulo2015
YAL003W,EFB1,1,1
YAL005C,SSA1,1,1
YAL012W,CYS3,1,1
YAL016W,TPD3,1,1
YAL021C,CCR4,1,1
YAL023C,PMT2,1,1
YAL035W,FUN12,1,1
YAL036C,RBG1,1,1
YAL038W,CDC19,1,1
YAL041W,CDC24,1,1
YAL042W,ERV46,1,1
YAL060W,BDH1,1,1
YAR002C-A,ERP1,1,1
YAR007C,RFA1,1,1
YAR015W,ADE1,1,1
YAR042W,SWH1,1,1
YBL004W,UTP20,1,1
YBL007C,SLA1,1,1
YBL015W,ACH1,1,1
YBL022C,PIM1,1,1
YBL024W,NCL1,1,1
YBL032W,HEK2,1,1
YBL033C,RIB1,1,1
YBL036C,NA,1,1
YBL039C,URA7,1,1
YBL041W,PRE7,1,1
YBL045C,COR1,1,1
YBL047C,EDE1,1,1
YBL050W,SEC17,1,1
YBL055C,NA,1,1
YBL056W,PTC3,1,1
YBL058W,SHP1,1,1
YBL064C,PRX1,1,1
YBL076C,ILS1,1,1
YBL091C,MAP2,1,1
YBL092W,RPL32,1,1
YBL099W,ATP1,1,1
YBR011C,IPP1,1,1
YBR015C,MNN2,1,1
YBR025C,OLA1,1,1
YBR026C,ETR1,1,1
YBR031W,RPL4A,1,1
YBR035C,PDX3,1,1
YBR039W,ATP3,1,1
YBR049C,REB1,1,1
YBR053C,NA,1,1
YBR056W,NA,1,1
YBR072W,HSP26,1,1
YBR078W,ECM33,1,1
YBR079C,RPG1,1,1
YBR080C,SEC18,1,1
YBR082C,UBC4,1,1
YBR084W,MIS1,1,1
YBR085C-A,YBR085C-A,1,1
YBR086C,IST2,1,1
YBR088C,POL30,1,1
YBR089C-A,NHP6B,1,1
YBR094W,PBY1,1,1
YBR096W,NA,1,1
YBR106W,PHO88,1,1
YBR109C,CMD1,1,1
YBR112C,CYC8,1,1
YBR115C,LYS2,1,1
YBR126C,TPS1,1,1
YBR127C,VMA2,1,1
YBR143C,SUP45,1,1
YBR149W,ARA1,1,1
YBR159W,IFA38,1,1
YBR160W,CDC28,1,1
YBR162C,TOS1,1,1
YBR164C,ARL1,1,1
YBR177C,EHT1,1,1
YBR189W,RPS9B,1,1
YBR191W,RPL21A,1,1
YBR196C,PGI1,1,1
YBR205W,KTR3,1,1
YBR218C,PYC2,1,1
YBR221C,PDB1,1,1
YBR222C,PCS60,1,1
YBR227C,MCX1,1,1
YBR234C,ARC40,1,1
YBR244W,GPX2,1,1
YBR247C,ENP1,1,1
YBR248C,HIS7,1,1
YBR249C,ARO4,1,1
YBR252W,DUT1,1,1
YBR263W,SHM1,1,1
YBR283C,SSH1,1,1
YBR286W,APE3,1,1
YBR288C,APM3,1,1
YCL009C,ILV6,1,1
YCL017C,NFS1,1,1
YCL018W,LEU2,1,1
YCL030C,HIS4,1,1
YCL034W,LSB5,1,1
YCL035C,GRX1,1,1
YCL037C,SRO9,1,1
YCL040W,GLK1,1,1
YCL043C,PDI1,1,1
YCL045C,EMC1,1,1
YCL050C,APA1,1,1
YCL057W,PRD1,1,1
YCR002C,CDC10,1,1
YCR004C,YCP4,1,1
YCR005C,CIT2,1,1
YCR009C,RVS161,1,1
YCR012W,PGK1,1,1
YCR028C-A,RIM1,1,1
YCR030C,SYP1,1,1
YCR031C,RPS14A,1,1
YCR051W,NA,1,1
YCR053W,THR4,1,1
YCR073W-A,SOL2,1,1
YCR077C,PAT1,1,1
YCR084C,TUP1,1,1
YCR088W,ABP1,1,1
YCR093W,CDC39,1,1
YDL007W,RPT2,1,1
YDL014W,NOP1,1,1
YDL019C,OSH2,1,1
YDL022W,GPD1,1,1
YDL029W,ARP2,1,1
YDL040C,NAT1,1,1
YDL047W,SIT4,1,1
YDL051W,LHP1,1,1
YDL052C,SLC1,1,1
YDL053C,PBP4,1,1
YDL055C,PSA1,1,1
YDL058W,USO1,1,1
YDL061C,RPS29B,1,1
YDL066W,IDP1,1,1
YDL072C,YET3,1,1
YDL074C,BRE1,1,1
YDL075W,RPL31A,1,1
YDL078C,MDH3,1,1
YDL081C,RPP1A,1,1
YDL084W,SUB2,1,1
YDL086W,YDL086W,1,1
YDL095W,PMT1,1,1
YDL097C,RPN6,1,1
YDL100C,GET3,1,1
YDL103C,QRI1,1,1
YDL110C,TMA17,1,1
YDL122W,UBP1,1,1
YDL124W,NA,1,1
YDL125C,HNT1,1,1
YDL126C,CDC48,1,1
YDL131W,LYS21,1,1
YDL135C,RDI1,1,1
YDL140C,RPO21,1,1
YDL143W,CCT4,1,1
YDL145C,COP1,1,1
YDL147W,RPN5,1,1
YDL160C,DHH1,1,1
YDL168W,SFA1,1,1
YDL171C,GLT1,1,1
YDL174C,DLD1,1,1
YDL178W,DLD2,1,1
YDL185W,VMA1,1,1
YDL192W,ARF1,1,1
YDL195W,SEC31,1,1
YDL201W,TRM8,1,1
YDL205C,HEM3,1,1
YDL213C,NOP6,1,1
YDL215C,GDH2,1,1
YDL225W,SHS1,1,1
YDL226C,GCS1,1,1
YDL229W,SSB1,1,1
YDL236W,PHO13,1,1
YDR001C,NTH1,1,1
YDR002W,YRB1,1,1
YDR019C,GCV1,1,1
YDR023W,SES1,1,1
YDR032C,PST2,1,1
YDR033W,MRH1,1,1
YDR035W,ARO3,1,1
YDR037W,KRS1,1,1
YDR044W,HEM13,1,1
YDR050C,TPI1,1,1
YDR060W,MAK21,1,1
YDR062W,LCB2,1,1
YDR064W,RPS13,1,1
YDR071C,PAA1,1,1
YDR074W,TPS2,1,1
YDR091C,RLI1,1,1
YDR092W,UBC13,1,1
YDR097C,MSH6,1,1
YDR098C,GRX3,1,1
YDR099W,BMH2,1,1
YDR101C,ARX1,1,1
YDR117C,TMA64,1,1
YDR120C,TRM1,1,1
YDR127W,ARO1,1,1
YDR129C,SAC6,1,1
YDR135C,YCF1,1,1
YDR145W,TAF12,1,1
YDR148C,KGD2,1,1
YDR150W,NUM1,1,1
YDR153C,ENT5,1,1
YDR155C,CPR1,1,1
YDR158W,HOM2,1,1
YDR168W,CDC37,1,1
YDR170C,SEC7,1,1
YDR172W,SUP35,1,1
YDR174W,HMO1,1,1
YDR177W,UBC1,1,1
YDR188W,CCT6,1,1
YDR189W,SLY1,1,1
YDR190C,RVB1,1,1
YDR211W,GCD6,1,1
YDR212W,TCP1,1,1
YDR214W,AHA1,1,1
YDR226W,ADK1,1,1
YDR233C,RTN1,1,1
YDR234W,LYS4,1,1
YDR238C,SEC26,1,1
YDR258C,HSP78,1,1
YDR264C,AKR1,1,1
YDR272W,GLO2,1,1
YDR293C,SSD1,1,1
YDR294C,DPL1,1,1
YDR298C,ATP5,1,1
YDR300C,PRO1,1,1
YDR303C,RSC3,1,1
YDR304C,CPR5,1,1
YDR321W,ASP1,1,1
YDR322C-A,TIM11,1,1
YDR324C,UTP4,1,1
YDR328C,SKP1,1,1
YDR341C,NA,1,1
YDR342C,HXT7,1,1
YDR346C,SVF1,1,1
YDR347W,MRP1,1,1
YDR348C,PAL1,1,1
YDR353W,TRR1,1,1
YDR354W,TRP4,1,1
YDR363W-A,SEM1,1,1
YDR368W,YPR1,1,1
YDR380W,ARO10,1,1
YDR381W,YRA1,1,1
YDR382W,RPP2B,1,1
YDR388W,RVS167,1,1
YDR394W,RPT3,1,1
YDR395W,SXM1,1,1
YDR399W,HPT1,1,1
YDR404C,RPB7,1,1
YDR427W,RPN9,1,1
YDR429C,TIF35,1,1
YDR432W,NPL3,1,1
YDR453C,TSA2,1,1
YDR454C,GUK1,1,1
YDR483W,KRE2,1,1
YDR487C,RIB3,1,1
YDR502C,SAM2,1,1
YDR507C,GIN4,1,1
YDR510W,SMT3,1,1
YDR513W,GRX2,1,1
YDR516C,EMI2,1,1
YDR518W,EUG1,1,1
YDR529C,QCR7,1,1
YDR533C,HSP31,1,1
YDR539W,FDC1,1,1
YEL002C,WBP1,1,1
YEL003W,GIM4,1,1
YEL011W,GLC3,1,1
YEL013W,VAC8,1,1
YEL020W-A,TIM9,1,1
YEL021W,URA3,1,1
YEL022W,GEA2,1,1
YEL026W,SNU13,1,1
YEL031W,SPF1,1,1
YEL034W,HYP2,1,1
YEL036C,ANP1,1,1
YEL037C,RAD23,1,1
YEL038W,UTR4,1,1
YEL047C,FRD1,1,1
YEL051W,VMA8,1,1
YEL058W,PCM1,1,1
YEL060C,PRB1,1,1
YEL071W,DLD3,1,1
YER003C,PMI40,1,1
YER007C-A,TMA20,1,1
YER009W,NTF2,1,1
YER012W,PRE1,1,1
YER021W,RPN3,1,1
YER023W,PRO3,1,1
YER025W,GCD11,1,1
YER026C,CHO1,1,1
YER030W,CHZ1,1,1
YER031C,YPT31,1,1
YER036C,ARB1,1,1
YER042W,MXR1,1,1
YER043C,SAH1,1,1
YER048C,CAJ1,1,1
YER049W,TPA1,1,1
YER052C,HOM3,1,1
YER055C,HIS1,1,1
YER057C,HMF1,1,1
YER062C,GPP2,1,1
YER067W,RGI1,1,1
YER068W,MOT2,1,1
YER069W,"ARG5,6",1,1
YER073W,ALD5,1,1
YER080W,AIM9,1,1
YER083C,GET2,1,1
YER086W,ILV1,1,1
YER089C,PTC2,1,1
YER090W,TRP2,1,1
YER091C,MET6,1,1
YER094C,PUP3,1,1
YER099C,PRS2,1,1
YER110C,KAP123,1,1
YER120W,SCS2,1,1
YER122C,GLO3,1,1
YER125W,RSP5,1,1
YER133W,GLC7,1,1
YER136W,GDI1,1,1
YER143W,DDI1,1,1
YER146W,LSM5,1,1
YER151C,UBP3,1,1
YER155C,BEM2,1,1
YER156C,YER156C,1,1
YER165W,PAB1,1,1
YER177W,BMH1,1,1
YER178W,PDA1,1,1
YFL004W,VTC2,1,1
YFL005W,SEC4,1,1
YFL010C,WWM1,1,1
YFL018C,LPD1,1,1
YFL022C,FRS2,1,1
YFL028C,CAF16,1,1
YFL037W,TUB2,1,1
YFL038C,YPT1,1,1
YFL039C,ACT1,1,1
YFL045C,SEC53,1,1
YFL048C,EMP47,1,1
YFR004W,RPN11,1,1
YFR006W,YFR006W,1,1
YFR009W,GCN20,1,1
YFR010W,UBP6,1,1
YFR014C,CMK1,1,1
YFR016C,YFR016C,1,1
YFR024C-A,LSB3,1,1
YFR032C-A,RPL29,1,1
YFR044C,DUG1,1,1
YFR049W,YMR31,1,1
YFR050C,PRE4,1,1
YFR051C,RET2,1,1
YFR052W,RPN12,1,1
YFR053C,HXK1,1,1
YGL001C,ERG26,1,1
YGL008C,PMA1,1,1
YGL009C,LEU1,1,1
YGL011C,SCL1,1,1
YGL022W,STT3,1,1
YGL026C,TRP5,1,1
YGL027C,CWH41,1,1
YGL030W,RPL30,1,1
YGL037C,PNC1,1,1
YGL038C,OCH1,1,1
YGL040C,HEM2,1,1
YGL043W,DST1,1,1
YGL048C,RPT6,1,1
YGL049C,TIF4632,1,1
YGL056C,SDS23,1,1
YGL062W,PYC1,1,1
YGL076C,RPL7A,1,1
YGL078C,DBP3,1,1
YGL082W,YGL082W,1,1
YGL087C,MMS2,1,1
YGL095C,VPS45,1,1
YGL097W,SRM1,1,1
YGL099W,LSG1,1,1
YGL103W,RPL28,1,1
YGL105W,ARC1,1,1
YGL106W,MLC1,1,1
YGL120C,PRP43,1,1
YGL122C,NAB2,1,1
YGL123W,RPS2,1,1
YGL125W,MET13,1,1
YGL137W,SEC27,1,1
YGL147C,RPL9A,1,1
YGL148W,ARO2,1,1
YGL156W,AMS1,1,1
YGL167C,PMR1,1,1
YGL173C,XRN1,1,1
YGL181W,GTS1,1,1
YGL187C,COX4,1,1
YGL190C,CDC55,1,1
YGL195W,GCN1,1,1
YGL200C,EMP24,1,1
YGL202W,ARO8,1,1
YGL206C,CHC1,1,1
YGL207W,SPT16,1,1
YGL221C,NIF3,1,1
YGL231C,EMC4,1,1
YGL234W,"ADE5,7",1,1
YGL242C,NA,1,1
YGL245W,GUS1,1,1
YGL252C,RTG2,1,1
YGL253W,HXK2,1,1
YGR001C,EFM5,1,1
YGR019W,UGA1,1,1
YGR020C,VMA7,1,1
YGR034W,RPL26B,1,1
YGR037C,ACB1,1,1
YGR048W,UFD1,1,1
YGR054W,YGR054W,1,1
YGR061C,ADE6,1,1
YGR080W,TWF1,1,1
YGR082W,TOM20,1,1
YGR083C,GCD2,1,1
YGR086C,PIL1,1,1
YGR094W,VAS1,1,1
YGR103W,NOP7,1,1
YGR116W,SPT6,1,1
YGR123C,PPT1,1,1
YGR124W,ASN2,1,1
YGR128C,UTP8,1,1
YGR130C,YGR130C,1,1
YGR132C,PHB1,1,1
YGR135W,PRE9,1,1
YGR155W,CYS4,1,1
YGR157W,CHO2,1,1
YGR159C,NSR1,1,1
YGR162W,TIF4631,1,1
YGR167W,CLC1,1,1
YGR173W,RBG2,1,1
YGR175C,ERG1,1,1
YGR178C,PBP1,1,1
YGR180C,RNR4,1,1
YGR181W,TIM13,1,1
YGR185C,TYS1,1,1
YGR186W,TFG1,1,1
YGR187C,HGH1,1,1
YGR192C,TDH3,1,1
YGR193C,PDX1,1,1
YGR194C,XKS1,1,1
YGR200C,ELP2,1,1
YGR204W,ADE3,1,1
YGR207C,CIR1,1,1
YGR209C,TRX2,1,1
YGR211W,ZPR1,1,1
YGR218W,CRM1,1,1
YGR232W,NAS6,1,1
YGR234W,YHB1,1,1
YGR240C,PFK1,1,1
YGR244C,LSC2,1,1
YGR253C,PUP2,1,1
YGR254W,ENO1,1,1
YGR264C,MES1,1,1
YGR275W,RTT102,1,1
YGR279C,SCW4,1,1
YGR282C,BGL2,1,1
YGR285C,ZUO1,1,1
YHL007C,STE20,1,1
YHL011C,PRS3,1,1
YHL015W,RPS20,1,1
YHL021C,AIM17,1,1
YHL030W,ECM29,1,1
YHL034C,SBP1,1,1
YHR001W,OSH7,1,1
YHR005C-A,TIM10,1,1
YHR007C,ERG11,1,1
YHR008C,SOD2,1,1
YHR012W,VPS29,1,1
YHR013C,ARD1,1,1
YHR018C,ARG4,1,1
YHR019C,DED81,1,1
YHR020W,YHR020W,1,1
YHR024C,MAS2,1,1
YHR025W,THR1,1,1
YHR027C,RPN1,1,1
YHR029C,YHI9,1,1
YHR030C,SLT2,1,1
YHR037W,PUT2,1,1
YHR039C,MSC7,1,1
YHR039C-A,VMA10,1,1
YHR042W,NCP1,1,1
YHR047C,AAP1,1,1
YHR049W,FSH1,1,1
YHR051W,COX6,1,1
YHR052W,CIC1,1,1
YHR063C,PAN5,1,1
YHR064C,SSZ1,1,1
YHR068W,DYS1,1,1
YHR069C,RRP4,1,1
YHR072W,ERG7,1,1
YHR074W,QNS1,1,1
YHR087W,RTC3,1,1
YHR089C,GAR1,1,1
YHR098C,SFB3,1,1
YHR104W,GRE3,1,1
YHR107C,CDC12,1,1
YHR108W,GGA2,1,1
YHR113W,APE4,1,1
YHR114W,BZZ1,1,1
YHR117W,TOM71,1,1
YHR121W,LSM12,1,1
YHR128W,FUR1,1,1
YHR132C,ECM14,1,1
YHR132W-A,IGO2,1,1
YHR135C,YCK1,1,1
YHR137W,ARO9,1,1
YHR146W,CRP1,1,1
YHR158C,KEL1,1,1
YHR163W,SOL3,1,1
YHR170W,NMD3,1,1
YHR174W,ENO2,1,1
YHR179W,OYE2,1,1
YHR183W,GND1,1,1
YHR190W,ERG9,1,1
YHR193C,EGD2,1,1
YHR196W,UTP9,1,1
YHR200W,RPN10,1,1
YHR208W,BAT1,1,1
YIL022W,TIM44,1,1
YIL033C,BCY1,1,1
YIL034C,CAP2,1,1
YIL038C,NOT3,1,1
YIL041W,GVP36,1,1
YIL043C,CBR1,1,1
YIL051C,MMF1,1,1
YIL053W,GPP1,1,1
YIL062C,ARC15,1,1
YIL063C,YRB2,1,1
YIL065C,FIS1,1,1
YIL074C,SER33,1,1
YIL075C,RPN2,1,1
YIL076W,SEC28,1,1
YIL078W,THS1,1,1
YIL083C,CAB2,1,1
YIL094C,LYS12,1,1
YIL108W,YIL108W,1,1
YIL109C,SEC24,1,1
YIL115C,NUP159,1,1
YIL116W,HIS5,1,1
YIL118W,RHO3,1,1
YIL124W,AYR1,1,1
YIL125W,KGD1,1,1
YIL126W,STH1,1,1
YIL133C,RPL16A,1,1
YIL136W,OM45,1,1
YIL137C,TMA108,1,1
YIL138C,TPM2,1,1
YIL142W,CCT2,1,1
YIL155C,GUT2,1,1
YIL162W,SUC2,1,1
YIR006C,PAN1,1,1
YIR034C,LYS1,1,1
YIR036C,IRC24,1,1
YIR038C,GTT1,1,1
YJL001W,PRE3,1,1
YJL002C,OST1,1,1
YJL008C,CCT8,1,1
YJL012C,VTC4,1,1
YJL014W,CCT3,1,1
YJL020C,BBC1,1,1
YJL026W,RNR2,1,1
YJL034W,KAR2,1,1
YJL041W,NSP1,1,1
YJL050W,MTR4,1,1
YJL052W,TDH1,1,1
YJL055W,NA,1,1
YJL060W,BNA3,1,1
YJL068C,NA,1,1
YJL076W,NET1,1,1
YJL080C,SCP160,1,1
YJL101C,GSH1,1,1
YJL109C,UTP10,1,1
YJL111W,CCT7,1,1
YJL123C,MTC1,1,1
YJL130C,URA2,1,1
YJL136C,RPS21B,1,1
YJL138C,TIF1,1,1
YJL145W,SFH5,1,1
YJL167W,ERG20,1,1
YJL172W,CPS1,1,1
YJL173C,RFA3,1,1
YJL177W,RPL17B,1,1
YJL200C,ACO2,1,1
YJL217W,REE1,1,1
YJR007W,SUI2,1,1
YJR009C,TDH2,1,1
YJR016C,ILV3,1,1
YJR025C,BNA1,1,1
YJR045C,SSC1,1,1
YJR060W,CBF1,1,1
YJR064W,CCT5,1,1
YJR065C,ARP3,1,1
YJR068W,RFC2,1,1
YJR069C,HAM1,1,1
YJR070C,LIA1,1,1
YJR073C,OPI3,1,1
YJR076C,CDC11,1,1
YJR077C,MIR1,1,1
YJR104C,SOD1,1,1
YJR105W,ADO1,1,1
YJR109C,CPA2,1,1
YJR117W,STE24,1,1
YJR121W,ATP2,1,1
YJR123W,RPS5,1,1
YJR125C,ENT3,1,1
YJR139C,HOM6,1,1
YJR143C,PMT4,1,1
YJR144W,MGM101,1,1
YJR148W,BAT2,1,1
YKL006W,RPL14A,1,1
YKL007W,CAP1,1,1
YKL009W,MRT4,1,1
YKL013C,ARC19,1,1
YKL016C,ATP7,1,1
YKL024C,URA6,1,1
YKL029C,MAE1,1,1
YKL033W-A,YKL033W-A,1,1
YKL035W,UGP1,1,1
YKL054C,DEF1,1,1
YKL056C,TMA19,1,1
YKL060C,FBA1,1,1
YKL065C,YET1,1,1
YKL067W,YNK1,1,1
YKL073W,LHS1,1,1
YKL080W,VMA5,1,1
YKL081W,TEF4,1,1
YKL085W,MDH1,1,1
YKL094W,YJU3,1,1
YKL103C,APE1,1,1
YKL104C,GFA1,1,1
YKL112W,ABF1,1,1
YKL117W,SBA1,1,1
YKL126W,YPK1,1,1
YKL127W,PGM1,1,1
YKL142W,MRP8,1,1
YKL145W,RPT1,1,1
YKL148C,SDH1,1,1
YKL150W,MCR1,1,1
YKL151C,NA,1,1
YKL152C,GPM1,1,1
YKL157W,APE2,1,1
YKL172W,EBP2,1,1
YKL179C,COY1,1,1
YKL180W,RPL17A,1,1
YKL181W,PRS1,1,1
YKL182W,FAS1,1,1
YKL193C,SDS22,1,1
YKL195W,MIA40,1,1
YKL196C,YKT6,1,1
YKL204W,EAP1,1,1
YKL210W,UBA1,1,1
YKL211C,TRP3,1,1
YKL212W,SAC1,1,1
YKL213C,DOA1,1,1
YKR001C,VPS1,1,1
YKR002W,PAP1,1,1
YKR003W,OSH6,1,1
YKR014C,YPT52,1,1
YKR016W,MIC60,1,1
YKR018C,YKR018C,1,1
YKR043C,SHB17,1,1
YKR048C,NAP1,1,1
YKR057W,RPS21A,1,1
YKR066C,CCP1,1,1
YKR067W,GPT2,1,1
YKR070W,YKR070W,1,1
YKR074W,AIM29,1,1
YKR081C,RPF2,1,1
YKR082W,NUP133,1,1
YKR084C,HBS1,1,1
YLL001W,DNM1,1,1
YLL013C,PUF3,1,1
YLL018C,DPS1,1,1
YLL021W,SPA2,1,1
YLL024C,SSA2,1,1
YLL026W,HSP104,1,1
YLL029W,FRA1,1,1
YLL040C,VPS13,1,1
YLL041C,SDH2,1,1
YLL045C,RPL8B,1,1
YLL048C,YBT1,1,1
YLL050C,COF1,1,1
YLR003C,CMS1,1,1
YLR022C,SDO1,1,1
YLR025W,SNF7,1,1
YLR027C,AAT2,1,1
YLR028C,ADE16,1,1
YLR038C,COX12,1,1
YLR043C,TRX1,1,1
YLR058C,SHM2,1,1
YLR060W,FRS1,1,1
YLR061W,RPL22A,1,1
YLR069C,MEF1,1,1
YLR075W,RPL10,1,1
YLR089C,ALT1,1,1
YLR095C,IOC2,1,1
YLR100W,ERG27,1,1
YLR106C,MDN1,1,1
YLR109W,AHP1,1,1
YLR133W,CKI1,1,1
YLR150W,STM1,1,1
YLR153C,ACS2,1,1
YLR172C,DPH5,1,1
YLR175W,CBF5,1,1
YLR179C,NA,1,1
YLR180W,SAM1,1,1
YLR192C,HCR1,1,1
YLR195C,NMT1,1,1
YLR196W,PWP1,1,1
YLR197W,NOP56,1,1
YLR199C,PBA1,1,1
YLR200W,YKE2,1,1
YLR206W,ENT2,1,1
YLR208W,SEC13,1,1
YLR216C,CPR6,1,1
YLR222C,UTP13,1,1
YLR229C,CDC42,1,1
YLR244C,MAP1,1,1
YLR248W,RCK2,1,1
YLR249W,YEF3,1,1
YLR258W,GSY2,1,1
YLR259C,HSP60,1,1
YLR262C-A,TMA7,1,1
YLR270W,DCS1,1,1
YLR274W,MCM5,1,1
YLR285W,NNT1,1,1
YLR287C,YLR287C,1,1
YLR300W,EXG1,1,1
YLR301W,HRI1,1,1
YLR303W,MET17,1,1
YLR304C,ACO1,1,1
YLR314C,CDC3,1,1
YLR325C,RPL38,1,1
YLR330W,CHS5,1,1
YLR335W,NUP2,1,1
YLR340W,RPP0,1,1
YLR347C,KAP95,1,1
YLR350W,ORM2,1,1
YLR351C,NIT3,1,1
YLR354C,TAL1,1,1
YLR355C,ILV5,1,1
YLR359W,ADE13,1,1
YLR370C,ARC18,1,1
YLR372W,ELO3,1,1
YLR380W,CSR1,1,1
YLR384C,IKI3,1,1
YLR388W,RPS29A,1,1
YLR389C,STE23,1,1
YLR401C,DUS3,1,1
YLR410W,VIP1,1,1
YLR418C,CDC73,1,1
YLR420W,URA4,1,1
YLR421C,RPN13,1,1
YLR429W,CRN1,1,1
YLR432W,IMD3,1,1
YLR438C-A,LSM3,1,1
YLR438W,CAR2,1,1
YLR441C,RPS1A,1,1
YLR447C,VMA6,1,1
YLR448W,RPL6B,1,1
YML001W,YPT7,1,1
YML004C,GLO1,1,1
YML008C,ERG6,1,1
YML010W,SPT5,1,1
YML022W,APT1,1,1
YML028W,TSA1,1,1
YML035C,AMD1,1,1
YML036W,CGI121,1,1
YML048W,GSF2,1,1
YML056C,IMD4,1,1
YML063W,RPS1B,1,1
YML069W,POB3,1,1
YML070W,DAK1,1,1
YML072C,TCB3,1,1
YML073C,RPL6A,1,1
YML074C,FPR3,1,1
YML078W,CPR3,1,1
YML085C,TUB1,1,1
YML086C,ALO1,1,1
YML092C,PRE8,1,1
YML093W,UTP14,1,1
YML094W,GIM5,1,1
YML100W,TSL1,1,1
YML105C,SEC65,1,1
YML106W,URA5,1,1
YML120C,NDI1,1,1
YML124C,TUB3,1,1
YML125C,PGA3,1,1
YML126C,ERG13,1,1
YML128C,MSC1,1,1
YML130C,ERO1,1,1
YMR012W,CLU1,1,1
YMR015C,ERG5,1,1
YMR027W,NA,1,1
YMR029C,FAR8,1,1
YMR031C,EIS1,1,1
YMR038C,CCS1,1,1
YMR039C,SUB1,1,1
YMR049C,ERB1,1,1
YMR062C,ARG7,1,1
YMR072W,ABF2,1,1
YMR079W,SEC14,1,1
YMR080C,NAM7,1,1
YMR083W,ADH3,1,1
YMR091C,NPL6,1,1
YMR092C,AIP1,1,1
YMR093W,UTP15,1,1
YMR099C,NA,1,1
YMR105C,PGM2,1,1
YMR108W,ILV2,1,1
YMR109W,MYO5,1,1
YMR110C,HFD1,1,1
YMR116C,ASC1,1,1
YMR120C,ADE17,1,1
YMR125W,STO1,1,1
YMR128W,ECM16,1,1
YMR129W,POM152,1,1
YMR131C,RRB1,1,1
YMR142C,RPL13B,1,1
YMR145C,NDE1,1,1
YMR146C,TIF34,1,1
YMR173W,DDR48,1,1
YMR178W,NA,1,1
YMR183C,SSO2,1,1
YMR186W,HSC82,1,1
YMR189W,GCV2,1,1
YMR196W,NA,1,1
YMR197C,VTI1,1,1
YMR202W,ERG2,1,1
YMR203W,TOM40,1,1
YMR205C,PFK2,1,1
YMR208W,ERG12,1,1
YMR217W,GUA1,1,1
YMR220W,ERG8,1,1
YMR222C,FSH2,1,1
YMR226C,NA,1,1
YMR229C,RRP5,1,1
YMR235C,RNA1,1,1
YMR237W,BCH1,1,1
YMR241W,YHM2,1,1
YMR243C,ZRC1,1,1
YMR244C-A,COA6,1,1
YMR246W,FAA4,1,1
YMR260C,TIF11,1,1
YMR261C,TPS3,1,1
YMR276W,DSK2,1,1
YMR290C,HAS1,1,1
YMR295C,YMR295C,1,1
YMR296C,LCB1,1,1
YMR297W,PRC1,1,1
YMR300C,ADE4,1,1
YMR302C,YME2,1,1
YMR304W,UBP15,1,1
YMR307W,GAS1,1,1
YMR308C,PSE1,1,1
YMR309C,NIP1,1,1
YMR311C,GLC8,1,1
YMR314W,PRE5,1,1
YMR315W,NA,1,1
YMR318C,ADH6,1,1
YNL004W,HRB1,1,1
YNL007C,SIS1,1,1
YNL010W,NA,1,1
YNL016W,PUB1,1,1
YNL037C,IDH1,1,1
YNL044W,YIP3,1,1
YNL045W,LAP2,1,1
YNL049C,SFB2,1,1
YNL055C,POR1,1,1
YNL064C,YDJ1,1,1
YNL067W,RPL9B,1,1
YNL069C,RPL16B,1,1
YNL071W,LAT1,1,1
YNL075W,IMP4,1,1
YNL079C,TPM1,1,1
YNL084C,END3,1,1
YNL088W,TOP2,1,1
YNL096C,RPS7B,1,1
YNL098C,RAS2,1,1
YNL104C,LEU4,1,1
YNL113W,RPC19,1,1
YNL118C,DCP2,1,1
YNL121C,TOM70,1,1
YNL123W,NMA111,1,1
YNL131W,TOM22,1,1
YNL134C,NA,1,1
YNL135C,FPR1,1,1
YNL138W,SRV2,1,1
YNL153C,GIM3,1,1
YNL154C,YCK2,1,1
YNL157W,IGO1,1,1
YNL160W,YGP1,1,1
YNL168C,FMP41,1,1
YNL178W,RPS3,1,1
YNL180C,RHO5,1,1
YNL189W,SRP1,1,1
YNL208W,NA,1,1
YNL209W,SSB2,1,1
YNL216W,RAP1,1,1
YNL219C,ALG9,1,1
YNL220W,ADE12,1,1
YNL232W,CSL4,1,1
YNL241C,ZWF1,1,1
YNL243W,SLA2,1,1
YNL244C,SUI1,1,1
YNL247W,NA,1,1
YNL248C,RPA49,1,1
YNL255C,GIS2,1,1
YNL274C,GOR1,1,1
YNL281W,HCH1,1,1
YNL287W,SEC21,1,1
YNL290W,RFC3,1,1
YNL307C,MCK1,1,1
YNL312W,RFA2,1,1
YNL313C,EMW1,1,1
YNL315C,ATP11,1,1
YNL323W,LEM3,1,1
YNR001C,CIT1,1,1
YNR016C,ACC1,1,1
YNR018W,RCF2,1,1
YNR021W,NA,1,1
YNR034W-A,YNR034W-A,1,1
YNR035C,ARC35,1,1
YNR043W,MVD1,1,1
YNR050C,LYS9,1,1
YNR051C,BRE5,1,1
YNR067C,DSE4,1,1
YOL021C,DIS3,1,1
YOL022C,TSR4,1,1
YOL027C,MDM38,1,1
YOL030W,GAS5,1,1
YOL038W,PRE6,1,1
YOL039W,RPP2A,1,1
YOL040C,RPS15,1,1
YOL041C,NOP12,1,1
YOL049W,GSH2,1,1
YOL057W,NA,1,1
YOL058W,ARG1,1,1
YOL059W,GPD2,1,1
